Cell,Parent,LineageName,Birth,Death,Type,Description
ABalaaapplr,ABalaaappl,ABalaaapplr,295,390,,
ABalaaappr,ABalaaapp,ABalaaappr,225,,,
AVDR,ABalaaappr,ABalaaapprl,285,,neuron,"Ventral cord interneuron, synapses onto VA, DA, and AS motoneurons; formerly called delta."
ILsoR,ABalaaappr,ABalaaapprr,285,,socket,"Inner labial socket cell, form protuberances at the tip of each labium."
ABalaap,ABalaa,ABalaap,94,,,
ABalaapa,ABalaap,ABalaapa,123,,,
ABalaapaa,ABalaapa,ABalaapaa,175,,,
ABalaapaaa,ABalaapaa,ABalaapaaa,240,,,
ABalaapaaal,ABalaapaaa,ABalaapaaal,325,375,,
AINR,ABalaapaaa,ABalaapaaar,325,,neuron,Ring interneuron.
ABalaapaap,ABalaapaa,ABalaapaap,240,,,
ABalaapaapa,ABalaapaap,ABalaapaapa,317,397,,
ILshR,ABalaapaap,ABalaapaapp,317,,sheath,Inner labial sheeth cell.
ABalaapap,ABalaapa,ABalaapap,175,,,
ABalaapapa,ABalaapap,ABalaapapa,240,260,,
ABalaapapp,ABalaapap,ABalaapapp,240,,,
ABalaapappa,ABalaapapp,ABalaapappa,295,390,,
CEPsoVR,ABalaapapp,ABalaapappp,295,,socket,Cephalic socket cell.
ABalaapp,ABalaap,ABalaapp,123,,,
ABalaappa,ABalaapp,ABalaappa,170,,,
ABalaappaa,ABalaappa,ABalaappaa,240,260,,
ABalaappap,ABalaappa,ABalaappap,240,,,
AVAR,ABalaappap,ABalaappapa,295,,neuron,"Ventral cord interneuron, synapses onto VA, DA, and AS motoneurons; formerly called alpha."
OLQsoVR,ABalaappap,ABalaappapp,295,,socket,Quadrant outer labial socket cell.
ABalaappp,ABalaapp,ABalaappp,170,,,
ABalaapppa,ABalaappp,ABalaapppa,220,,,
RIAR,ABalaapppa,ABalaapppaa,310,,neuron,"Ring interneuron, prominent reciprocal synapses onto RMD and SMD."
ABalaapppap,ABalaapppa,ABalaapppap,310,330,,
ABalaapppp,ABalaappp,ABalaapppp,220,,,
ABalaappppa,ABalaapppp,ABalaappppa,290,,,
IL1R,ABalaappppa,ABalaappppaa,410,,neuron,"Neuron of inner labial sensilla, ciliated ending with striated rootlets, synapse directly onto muscle cells."
ABalaappppap,ABalaappppa,ABalaappppap,410,435,,
IL2R,ABalaapppp,ABalaappppp,290,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside."
ABalap,ABala,ABalap,68,,,
ABalapa,ABalap,ABalapa,92,,,
ABalapaa,ABalapa,ABalapaa,120,,,
ABalapaaa,ABalapaa,ABalapaaa,170,,,
ABalapaaaa,ABalapaaa,ABalapaaaa,215,,,
AVHL,ABalapaaaa,ABalapaaaaa,335,,neuron,"Neuron, mainly presynaptic in ring and postsynaptic in ventral cord."
ABalapaaaap,ABalapaaaa,ABalapaaaap,335,397,,
ABalapaaap,ABalapaaa,ABalapaaap,215,,,
CANL,ABalapaaap,ABalapaaapa,290,,neuron,"Process runs along excretory canal, no synapses seen, essential for survival."
OLLsoL,ABalapaaap,ABalapaaapp,290,,socket,Lateral outer labial socket cell.
ABalapaap,ABalapaa,ABalapaap,170,,,
ABalapaapa,ABalapaap,ABalapaapa,215,,,
RIAL,ABalapaapa,ABalapaapaa,317,,neuron,"Ring interneuron, prominent reciprocal synapses onto RMD and SMD."
ABalapaapap,ABalapaapa,ABalapaapap,317,340,,
ABalapaapp,ABalapaap,ABalapaapp,215,,,
ABalapaappa,ABalapaapp,ABalapaappa,285,,,
IL1L,ABalapaappa,ABalapaappaa,397,,neuron,"Neuron of inner labial sensilla, ciliated ending with striated rootlets, synapse directly onto muscle cells."
ABalapaappap,ABalapaappa,ABalapaappap,397,425,,
IL2L,ABalapaapp,ABalapaappp,285,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside."
ABalapap,ABalapa,ABalapap,120,,,
ABalapapa,ABalapap,ABalapapa,160,,,
ABalapapaa,ABalapapa,ABalapapaa,215,250,,
ABalapapap,ABalapapa,ABalapapap,215,,,
ABalapapapa,ABalapapap,ABalapapapa,285,,,
OLQDL,ABalapapapa,ABalapapapaa,400,,neuron,"Neuron of quadrant outer labial sensilla, ciliated ending with striated rootlets."
ABalapapapap,ABalapapapa,ABalapapapap,400,430,,
URYDL,ABalapapap,ABalapapapp,285,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLQ in embryo."
ABalapapp,ABalapap,ABalapapp,160,,,
ABalapappa,ABalapapp,ABalapappa,210,,,
ABalapappaa,ABalapappa,ABalapappaa,280,,,
IL1DL,ABalapappaa,ABalapappaaa,390,,neuron,"Neuron of inner labial sensilla, ciliated ending with striated rootlets, synapse directly onto muscle cells."
ABalapappaap,ABalapappaa,ABalapappaap,390,435,,
IL2DL,ABalapappa,ABalapappap,280,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside."
ABalapappp,ABalapapp,ABalapappp,210,,,
AVJL,ABalapappp,ABalapapppa,290,,neuron,"Neuron, mainly postsynaptic in ventral cord and presynaptic in ring."
CEPsoDL,ABalapappp,ABalapapppp,290,,socket,Cephalic socket cell.
ABalapp,ABalap,ABalapp,92,,,
ABalappa,ABalapp,ABalappa,121,,,
ABalappaa,ABalappa,ABalappaa,170,,,
ABalappaaa,ABalappaa,ABalappaaa,240,270,,
ABalappaap,ABalappaa,ABalappaap,240,,,
RID,ABalappaap,ABalappaapa,340,,neuron,"Motoneuron, projects around ring and along dorsal cord, innervates dorsal body muscles."
ABalappaapp,ABalappaap,ABalappaapp,340,370,,
ABalappap,ABalappa,ABalappap,170,,,
ABalappapa,ABalappap,ABalappapa,215,,,
AVHR,ABalappapa,ABalappapaa,325,,neuron,"Neuron, mainly presynaptic in ring and postsynaptic in ventral cord."
ABalappapap,ABalappapa,ABalappapap,325,397,,
ABalappapp,ABalappap,ABalappapp,215,,,
CANR,ABalappapp,ABalappappa,290,,neuron,"Process runs along excretory canal, no synapses seen, essential for survival."
OLLsoR,ABalappapp,ABalappappp,290,,socket,Lateral outer labial socket cell.
ABalappp,ABalapp,ABalappp,121,,,
ABalapppa,ABalappp,ABalapppa,160,,,
ABalapppaa,ABalapppa,ABalapppaa,213,,,
ALA,ABalapppaa,ABalapppaaa,303,,neuron,"Neuron, sends processes laterally adjacent to excretory canal and also along dorsal cord."
RMED,ABalapppaa,ABalapppaap,303,,neuron,"Ring motoneuron, probably contain GABA."
ABalapppap,ABalapppa,ABalapppap,213,,,
ABalapppapa,ABalapppap,ABalapppapa,285,,,
OLQDR,ABalapppapa,ABalapppapaa,400,,neuron,"Neuron of quadrant outer labial sensilla, ciliated ending with striated rootlets."
ABalapppapap,ABalapppapa,ABalapppapap,400,430,,
URYDR,ABalapppap,ABalapppapp,285,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLQ in embryo."
ABalapppp,ABalappp,ABalapppp,160,,,
ABalappppa,ABalapppp,ABalappppa,210,,,
ABalappppaa,ABalappppa,ABalappppaa,280,,,
IL1DR,ABalappppaa,ABalappppaaa,390,,neuron,"Neuron of inner labial sensilla, ciliated ending with striated rootlets, synapse directly onto muscle cells."
ABalappppaap,ABalappppaa,ABalappppaap,390,435,,
IL2DR,ABalappppa,ABalappppap,280,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside."
ABalappppp,ABalapppp,ABalappppp,210,,,
AVJR,ABalappppp,ABalapppppa,290,,neuron,"Neuron, mainly postsynaptic in ventral cord and presynaptic in ring."
CEPsoDR,ABalappppp,ABalapppppp,290,,socket,Cephalic socket cell.
ABalp,ABal,ABalp,50,,,
ABalpa,ABalp,ABalpa,68,,,
ABalpaa,ABalpa,ABalpaa,105,,,
ABalpaaa,ABalpaa,ABalpaaa,135,,,
ABalpaaaa,ABalpaaa,ABalpaaaa,175,,,
ABalpaaaaa,ABalpaaaa,ABalpaaaaa,237,,,
e3VL,ABalpaaaaa,ABalpaaaaaa,320,,epithelium,Pharyngeal epithelial cell.
m2VL,ABalpaaaaa,ABalpaaaaap,320,,muscle,Pharyngeal muscle cell.
ABalpaaaap,ABalpaaaa,ABalpaaaap,237,,,
m1VL,ABalpaaaap,ABalpaaaapa,320,,muscle,Pharyngeal muscle cell.
ABalpaaaapp,ABalpaaaap,ABalpaaaapp,320,345,,
ABalpaaap,ABalpaaa,ABalpaaap,175,,,
ABalpaaapa,ABalpaaap,ABalpaaapa,237,,,
m2L,ABalpaaapa,ABalpaaapaa,342,,muscle,Pharyngeal muscle cell.
ABalpaaapap,ABalpaaapa,ABalpaaapap,342,370,,
ABalpaaapp,ABalpaaap,ABalpaaapp,237,,,
ABalpaaappa,ABalpaaapp,ABalpaaappa,337,370,,
MCL,ABalpaaapp,ABalpaaappp,337,,neuron,Pharyngeal neuron that synapses onto the marginal cells.
ABalpaap,ABalpaa,ABalpaap,135,,,
ABalpaapa,ABalpaap,ABalpaapa,165,,,
ABalpaapaa,ABalpaapa,ABalpaapaa,225,,,
arc post DL,ABalpaapaa,ABalpaapaaa,300,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
e2DL,ABalpaapaa,ABalpaapaap,300,,epithelium,Pharyngeal epithelial cell.
ABalpaapap,ABalpaapa,ABalpaapap,225,,,
mc1DL,ABalpaapap,ABalpaapapa,280,,marginal,Pharyngeal marginal cell.
m3L,ABalpaapap,ABalpaapapp,280,,muscle,Pharyngeal muscle cell.
ABalpaapp,ABalpaap,ABalpaapp,165,,,
ABalpaappa,ABalpaapp,ABalpaappa,230,,,
arc ant DL,ABalpaappa,ABalpaappaa,305,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
arc post VL,ABalpaappa,ABalpaappap,305,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
ABalpaappp,ABalpaapp,ABalpaappp,230,,,
hyp1DL,ABalpaappp,ABalpaapppa,295,,hypoderm,Cylindrical hypodermal syncytium in head.
hyp2DL,ABalpaappp,ABalpaapppp,295,,hypoderm,Cylindrical hypodermal syncytium in head.
ABalpap,ABalpa,ABalpap,105,,,
ABalpapa,ABalpap,ABalpapa,135,,,
ABalpapaa,ABalpapa,ABalpapaa,165,,,
ABalpapaaa,ABalpapaa,ABalpapaaa,228,,,
RIPL,ABalpapaaa,ABalpapaaaa,285,,neuron,"Ring/pharynx interneuron, only direct connection between pharynx and ring, makes no chemical synapses."
hyp2V,ABalpapaaa,ABalpapaaap,285,,hypoderm,Cylindrical hypodermal syncytium in head.
ABalpapaap,ABalpapaa,ABalpapaap,228,,,
arc ant V,ABalpapaap,ABalpapaapa,310,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
ABalpapaapp,ABalpapaap,ABalpapaapp,310,360,,
ABalpapap,ABalpapa,ABalpapap,165,,,
ABalpapapa,ABalpapap,ABalpapapa,225,,,
RMDDL,ABalpapapa,ABalpapapaa,285,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor."
ABalpapapap,ABalpapapa,ABalpapapap,285,,,
ABalpapapapa,ABalpapapap,ABalpapapapa,390,420,,
SMBDL,ABalpapapap,ABalpapapapp,390,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
ABalpapapp,ABalpapap,ABalpapapp,225,,,
ABalpapappa,ABalpapapp,ABalpapappa,305,333,,
SMBVL,ABalpapapp,ABalpapappp,305,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
ABalpapp,ABalpap,ABalpapp,135,,,
ABalpappa,ABalpapp,ABalpappa,165,,,
ABalpappaa,ABalpappa,ABalpappaa,217,,,
ABalpappaaa,ABalpappaa,ABalpappaaa,295,330,,
ABalpappaap,ABalpappaa,ABalpappaap,295,,,
I2L,ABalpappaap,ABalpappaapa,385,,neuron,Anterior sensory pharyngeal interneuron.
ABalpappaapp,ABalpappaap,ABalpappaapp,385,415,,
ABalpappap,ABalpappa,ABalpappap,217,,,
e2V,ABalpappap,ABalpappapa,270,,epithelium,Pharyngeal epithelial cell.
mc3V,ABalpappap,ABalpappapp,270,,marginal,Pharyngeal marginal cell.
ABalpappp,ABalpapp,ABalpappp,165,,,
ABalpapppa,ABalpappp,ABalpapppa,215,,,
I1L,ABalpapppa,ABalpapppaa,318,,neuron,"Anterior sensory pharyngeal interneuron, input from RIP."
ABalpapppap,ABalpapppa,ABalpapppap,318,370,,
ABalpapppp,ABalpappp,ABalpapppp,215,,,
mc1V,ABalpapppp,ABalpappppa,258,,marginal,Pharyngeal marginal cell.
m3VL,ABalpapppp,ABalpappppp,258,,muscle,Pharyngeal muscle cell.
ABalpp,ABalp,ABalpp,68,,,
ABalppa,ABalpp,ABalppa,105,,,
ABalppaa,ABalppa,ABalppaa,140,,,
ABalppaaa,ABalppaa,ABalppaaa,163,,,
ABalppaaaa,ABalppaaa,ABalppaaaa,237,260,,
ABalppaaap,ABalppaaa,ABalppaaap,237,,,
AVAL,ABalppaaap,ABalppaaapa,295,,neuron,"Ventral cord interneuron, synapses onto VA, DA, and AS motoneurons; formerly called alpha."
OLQsoVL,ABalppaaap,ABalppaaapp,295,,socket,Quadrant outer labial socket cell.
ABalppaap,ABalppaa,ABalppaap,163,,,
ABalppaapa,ABalppaap,ABalppaapa,230,255,,
ABalppaapp,ABalppaap,ABalppaapp,230,,,
ABalppaappa,ABalppaapp,ABalppaappa,305,410,,
CEPsoVL,ABalppaapp,ABalppaappp,305,,socket,Cephalic socket cell.
ABalppap,ABalppa,ABalppap,140,,,
ABalppapa,ABalppap,ABalppapa,153,,,
ABalppapaa,ABalppapa,ABalppapaa,220,,,
RMDVL,ABalppapaa,ABalppapaaa,300,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor."
ILshVL,ABalppapaa,ABalppapaap,300,,sheath,Inner labial sheeth cell.
ABalppapap,ABalppapa,ABalppapap,220,,,
SAADL,ABalppapap,ABalppapapa,292,,neuron,"Ring interneuron, have anteriorly direct process that runs sublaterally."
ILsoVL,ABalppapap,ABalppapapp,292,,socket,"Inner labial socket cell, form protuberances at the tip of each labium."
ABalppapp,ABalppap,ABalppapp,153,,,
ABalppappa,ABalppapp,ABalppappa,217,,,
SMDVL,ABalppappa,ABalppappaa,290,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
BAGL,ABalppappa,ABalppappap,290,,neuron,"Neuron, ciliated ending in head, not part of a sensillum, associated with ILso."
ABalppappp,ABalppapp,ABalppappp,217,,,
ABalppapppa,ABalppappp,ABalppapppa,285,,,
IL1VL,ABalppapppa,ABalppapppaa,410,,neuron,"Neuron of inner labial sensilla, ciliated ending with striated rootlets, synapse directly onto muscle cells."
ABalppapppap,ABalppapppa,ABalppapppap,410,440,,
IL2VL,ABalppappp,ABalppapppp,285,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside."
ABalppp,ABalpp,ABalppp,105,,,
ABalpppa,ABalppp,ABalpppa,135,,,
ABalpppaa,ABalpppa,ABalpppaa,165,,,
ABalpppaaa,ABalpppaa,ABalpppaaa,237,,,
AVEL,ABalpppaaa,ABalpppaaaa,315,,neuron,"Ventral cord interneuron, same post-synaptic targets as AVD but process restricted to anterior cord."
OLQshVL,ABalpppaaa,ABalpppaaap,315,,sheath,Quadrant outer labial sheath cell.
ABalpppaap,ABalpppaa,ABalpppaap,237,,,
OLLshL,ABalpppaap,ABalpppaapd,320,,sheath,Lateral outer labial sheath cell.
ABalpppaapv,ABalpppaap,ABalpppaapv,320,342,,
ABalpppap,ABalpppa,ABalpppap,165,,,
ABalpppapa,ABalpppap,ABalpppapa,225,,,
RMDL,ABalpppapa,ABalpppapad,305,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor."
AFDL,ABalpppapa,ABalpppapav,305,,neuron,"Amphid finger cell, associated with amphid sheath."
ABalpppapp,ABalpppap,ABalpppapp,225,,,
ABalpppappa,ABalpppapp,ABalpppappa,285,310,,
ABalpppappp,ABalpppapp,ABalpppappp,285,,,
ASKL,ABalpppappp,ABalpppapppa,375,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABalpppapppp,ABalpppappp,ABalpppapppp,375,410,,
ABalpppp,ABalppp,ABalpppp,135,,,
ABalppppa,ABalpppp,ABalppppa,148,,,
ABalppppaa,ABalppppa,ABalppppaa,223,,,
ADLL,ABalppppaa,ABalppppaad,290,,neuron,"Amphid neuron, dual ciliated sensory endings, probably chemosensory, prohject directly to ring, take up FITC."
ABalppppaav,ABalppppaa,ABalppppaav,290,333,,
ABalppppap,ABalppppa,ABalppppap,223,,,
ABalppppapa,ABalppppap,ABalppppapa,300,,,
OLLL,ABalppppapa,ABalppppapaa,410,,neuron,"Neuron of outer labial sensilla, ciliated ending."
ABalppppapap,ABalppppapa,ABalppppapap,410,440,,
ABalppppapp,ABalppppap,ABalppppapp,300,320,,
ABalppppp,ABalpppp,ABalppppp,148,,,
ABalpppppa,ABalppppp,ABalpppppa,217,,,
ADFL,ABalpppppa,ABalpppppaa,280,,neuron,"Amphid neuron, dual ciliate sensory endings, probably chemosensory, enter ring via commissure from ventral ganglion, take up FITC."
AWBL,ABalpppppa,ABalpppppap,280,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath."
ABalpppppp,ABalppppp,ABalpppppp,217,,,
ABalppppppa,ABalpppppp,ABalppppppa,255,,,
ASEL,ABalppppppa,ABalppppppaa,342,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABalppppppap,ABalppppppa,ABalppppppap,342,375,,
ABalppppppp,ABalpppppp,ABalppppppp,255,,,
ASJL,ABalppppppp,ABalpppppppa,342,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
AUAL,ABalppppppp,ABalpppppppp,342,,neuron,"Neuron, processes run with amphid neuron dendrites but lack ciliated ending."
ABar,ABa,ABar,35,,,
ABara,ABar,ABara,50,,,
ABaraa,ABara,ABaraa,75,,,
ABaraaa,ABaraa,ABaraaa,105,,,
ABaraaaa,ABaraaa,ABaraaaa,135,,,
ABaraaaaa,ABaraaaa,ABaraaaaa,180,,,
ABaraaaaaa,ABaraaaaa,ABaraaaaaa,240,,,
e1VL,ABaraaaaaa,ABaraaaaaaa,325,,epithelium,Pharyngeal epithelial cell.
m1L,ABaraaaaaa,ABaraaaaaap,325,,muscle,Pharyngeal muscle cell.
ABaraaaaap,ABaraaaaa,ABaraaaaap,240,,,
e1VR,ABaraaaaap,ABaraaaaapa,330,,epithelium,Pharyngeal epithelial cell.
m1R,ABaraaaaap,ABaraaaaapp,330,,muscle,Pharyngeal muscle cell.
ABaraaaap,ABaraaaa,ABaraaaap,180,,,
ABaraaaapa,ABaraaaap,ABaraaaapa,250,,,
ABaraaaapaa,ABaraaaapa,ABaraaaapaa,325,370,,
e1D,ABaraaaapa,ABaraaaapap,325,,epithelium,Pharyngeal epithelial cell.
ABaraaaapp,ABaraaaap,ABaraaaapp,250,280,,
ABaraaap,ABaraaa,ABaraaap,135,,,
ABaraaapa,ABaraaap,ABaraaapa,175,,,
ABaraaapaa,ABaraaapa,ABaraaapaa,225,,,
arc post DR,ABaraaapaa,ABaraaapaaa,295,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
e2DR,ABaraaapaa,ABaraaapaap,295,,epithelium,Pharyngeal epithelial cell.
ABaraaapap,ABaraaapa,ABaraaapap,225,,,
mc1DR,ABaraaapap,ABaraaapapa,280,,marginal,Pharyngeal marginal cell.
m4R,ABaraaapap,ABaraaapapp,280,,muscle,Pharyngeal muscle cell.
ABaraaapp,ABaraaap,ABaraaapp,175,,,
ABaraaappa,ABaraaapp,ABaraaappa,230,,,
arc post D,ABaraaappa,ABaraaappaa,305,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
arc post VR,ABaraaappa,ABaraaappap,305,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
ABaraaappp,ABaraaapp,ABaraaappp,230,,,
arc ant DR,ABaraaappp,ABaraaapppa,300,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
hyp1DR,ABaraaappp,ABaraaapppp,300,,hypoderm,Cylindrical hypodermal syncytium in head.
ABaraap,ABaraa,ABaraap,105,,,
ABaraapa,ABaraap,ABaraapa,135,,,
ABaraapaa,ABaraapa,ABaraapaa,175,,,
ABaraapaaa,ABaraapaa,ABaraapaaa,228,,,
e3D,ABaraapaaa,ABaraapaaaa,300,,epithelium,Pharyngeal epithelial cell.
m1DL,ABaraapaaa,ABaraapaaap,300,,muscle,Pharyngeal muscle cell.
ABaraapaap,ABaraapaa,ABaraapaap,228,,,
m2DL,ABaraapaap,ABaraapaapa,290,,muscle,Pharyngeal muscle cell.
mc2DL,ABaraapaap,ABaraapaapp,290,,marginal,Pharyngeal marginal cell.
ABaraapap,ABaraapa,ABaraapap,175,,,
ABaraapapa,ABaraapap,ABaraapapa,228,,,
ABaraapapaa,ABaraapapa,ABaraapapaa,280,,,
ABaraapapaad,ABaraapapaa,ABaraapapaad,415,440,,
NSML,ABaraapapaa,ABaraapapaav,415,,neuron,"Pharyngeal neurosecretory motoneuron, contains serotonin."
m5L,ABaraapapa,ABaraapapap,280,,muscle,Pharyngeal muscle cell.
ABaraapapp,ABaraapap,ABaraapapp,228,,,
M2L,ABaraapapp,ABaraapappa,325,,neuron,Pharyngeal motoneuron.
M3L,ABaraapapp,ABaraapappp,325,,neuron,Pharyngeal sensory/motoneuron.
ABaraapp,ABaraap,ABaraapp,135,,,
ABaraappa,ABaraapp,ABaraappa,175,,,
ABaraappaa,ABaraappa,ABaraappaa,228,,,
MI,ABaraappaa,ABaraappaaa,305,,neuron,Pharyngeal motoneuron/interneuron.
m1DR,ABaraappaa,ABaraappaap,305,,muscle,Pharyngeal muscle cell.
ABaraappap,ABaraappa,ABaraappap,228,,,
m2DR,ABaraappap,ABaraappapa,290,,muscle,Pharyngeal muscle cell.
mc2DR,ABaraappap,ABaraappapp,290,,marginal,Pharyngeal marginal cell.
ABaraappp,ABaraapp,ABaraappp,175,,,
ABaraapppa,ABaraappp,ABaraapppa,228,,,
ABaraapppaa,ABaraapppa,ABaraapppaa,280,,,
ABaraapppaad,ABaraapppaa,ABaraapppaad,415,440,,
NSMR,ABaraapppaa,ABaraapppaav,415,,neuron,"Pharyngeal neurosecretory motoneuron, contains serotonin."
m5R,ABaraapppa,ABaraapppap,280,,muscle,Pharyngeal muscle cell.
ABaraapppp,ABaraappp,ABaraapppp,228,,,
M2R,ABaraapppp,ABaraappppa,320,,neuron,Pharyngeal motoneuron.
M3R,ABaraapppp,ABaraappppp,320,,neuron,Pharyngeal sensory/motoneuron.
ABarap,ABara,ABarap,75,,,
ABarapa,ABarap,ABarapa,105,,,
ABarapaa,ABarapa,ABarapaa,135,,,
ABarapaaa,ABarapaa,ABarapaaa,180,,,
ABarapaaaa,ABarapaaa,ABarapaaaa,230,,,
e3VR,ABarapaaaa,ABarapaaaaa,318,,epithelium,Pharyngeal epithileal cell.
m2VR,ABarapaaaa,ABarapaaaap,318,,muscle,Pharyngeal muscle cell.
ABarapaaap,ABarapaaa,ABarapaaap,230,,,
m1VR,ABarapaaap,ABarapaaapa,320,,muscle,Pharyngeal muscle cell.
ABarapaaapp,ABarapaaap,ABarapaaapp,320,360,,
ABarapaap,ABarapaa,ABarapaap,180,,,
ABarapaapa,ABarapaap,ABarapaapa,228,,,
m2R,ABarapaapa,ABarapaapaa,340,,muscle,Pharyngeal muscle cell.
ABarapaapap,ABarapaapa,ABarapaapap,340,370,,
ABarapaapp,ABarapaap,ABarapaapp,228,,,
m3R,ABarapaapp,ABarapaappa,290,,muscle,Pharyngeal muscle cell.
MCR,ABarapaapp,ABarapaappp,290,,neuron,Pharyngeal neuron that synapses onto the marginal cells.
ABarapap,ABarapa,ABarapap,135,,,
ABarapapa,ABarapap,ABarapapa,175,,,
ABarapapaa,ABarapapa,ABarapapaa,215,,,
ABarapapaaa,ABarapapaa,ABarapapaaa,308,330,,
ABarapapaap,ABarapapaa,ABarapapaap,308,,,
I2R,ABarapapaap,ABarapapaapa,385,,neuron,Anterior sensory pharyngeal interneuron.
ABarapapaapp,ABarapapaap,ABarapapaapp,385,420,,
ABarapapap,ABarapapa,ABarapapap,215,,,
arc post V,ABarapapap,ABarapapapa,280,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity."
I5,ABarapapap,ABarapapapp,280,,neuron,Posterior sensory pharyngeal interneuron.
ABarapapp,ABarapap,ABarapapp,175,,,
ABarapappa,ABarapapp,ABarapappa,210,,,
I1R,ABarapappa,ABarapappaa,318,,neuron,"Anterior sensory pharyngeal interneuron, input from RIP."
ABarapappap,ABarapappa,ABarapappap,318,350,,
ABarapappp,ABarapapp,ABarapappp,210,,,
mc2V,ABarapappp,ABarapapppa,265,,marginal,Pharyngeal marginal cell.
m3VR,ABarapappp,ABarapapppp,265,,muscle,Pharyngeal muscle cell.
ABarapp,ABarap,ABarapp,105,,,
ABarappa,ABarapp,ABarappa,135,,,
ABarappaa,ABarappa,ABarappaa,175,,,
ABarappaaa,ABarappaa,ABarappaaa,228,,,
RIPR,ABarappaaa,ABarappaaaa,305,,neuron,"Ring/pharynx interneuron, only direct connection between pharynx and ring, makes no chemical synapses."
ABarappaaap,ABarappaaa,ABarappaaap,305,355,,
ABarappaap,ABarappaa,ABarappaap,228,,,
