Cell,Parent,LineageName,Birth,Death,Type,Description,Unnamed: 7,Unnamed: 8
ABplppa,ABplpp,ABplppa,105.0,,,,,
ABprpaa,ABprpa,ABprpaa,105.0,,,,,
ABplpaa,ABplpa,ABplpaa,105.0,,,,,
ABplaap,ABplaa,ABplaap,105.0,,,,,
ABalppa,ABalpp,ABalppa,105.0,,,,,
ABprapp,ABprap,ABprapp,105.0,,,,,
ABarppa,ABarpp,ABarppa,105.0,,,,,
ABplapa,ABplap,ABplapa,105.0,,,,,
ABplapp,ABplap,ABplapp,105.0,,,,,
ABarpaa,ABarpa,ABarpaa,105.0,,,,,
ABaraap,ABaraa,ABaraap,105.0,,,,,
ABprapa,ABprap,ABprapa,105.0,,,,,
ABpraaa,ABpraa,ABpraaa,105.0,,,,,
ABalppp,ABalpp,ABalppp,105.0,,,,,
ABarapp,ABarap,ABarapp,105.0,,,,,
ABprppp,ABprpp,ABprppp,105.0,,,,,
ABprpap,ABprpa,ABprpap,105.0,,,,,
ABpraap,ABpraa,ABpraap,105.0,,,,,
ABaraaa,ABaraa,ABaraaa,105.0,,,,,
ABplaaa,ABplaa,ABplaaa,105.0,,,,,
ABarpap,ABarpa,ABarpap,105.0,,,,,
ABplpap,ABplpa,ABplpap,105.0,,,,,
ABalpap,ABalpa,ABalpap,105.0,,,,,
Eal,Ea,Eal,110.0,,,,,
Ear,Ea,Ear,110.0,,,,,
MSaaa,MSaa,MSaaa,115.0,,,,,
Dp,D,Dp,115.0,,,,,
Da,D,Da,115.0,,,,,
Epr,Ep,Epr,115.0,,,,,
MSaap,MSaa,MSaap,115.0,,,,,
Epl,Ep,Epl,115.0,,,,,
MSpap,MSpa,MSpap,120.0,,,,,
ABalapaa,ABalapa,ABalapaa,120.0,,,,,
MSapa,MSap,MSapa,120.0,,,,,
ABalapap,ABalapa,ABalapap,120.0,,,,,
MSapp,MSap,MSapp,120.0,,,,,
MSpaa,MSpa,MSpaa,120.0,,,,,
ABalappp,ABalapp,ABalappp,121.0,,,,,
ABalappa,ABalapp,ABalappa,121.0,,,,,
ABalaaaa,ABalaaa,ABalaaaa,122.0,,,,,
ABalaaap,ABalaaa,ABalaaap,122.0,,,,,
MSppa,MSpp,MSppa,122.0,,,,,
MSppp,MSpp,MSppp,122.0,,,,,
ABalaapa,ABalaap,ABalaapa,123.0,,,,,
ABalaapp,ABalaap,ABalaapp,123.0,,,,,
Cppa,Cpp,Cppa,133.0,,,,,
Cppp,Cpp,Cppp,133.0,,,,,
Capa,Cap,Capa,133.0,,,,,
Capp,Cap,Capp,133.0,,,,,
Cpap,Cpa,Cpap,133.0,,,,,
Caap,Caa,Caap,133.0,,,,,
Caaa,Caa,Caaa,133.0,,,,,
Cpaa,Cpa,Cpaa,133.0,,,,,
ABarapaa,ABarapa,ABarapaa,135.0,,,,,
ABalpaap,ABalpaa,ABalpaap,135.0,,,,,
ABalpppp,ABalppp,ABalpppp,135.0,,,,,
ABarappp,ABarapp,ABarappp,135.0,,,,,
ABarappa,ABarapp,ABarappa,135.0,,,,,
ABalpaaa,ABalpaa,ABalpaaa,135.0,,,,,
ABaraaaa,ABaraaa,ABaraaaa,135.0,,,,,
ABarpapp,ABarpap,ABarpapp,135.0,,,,,
ABalpapp,ABalpap,ABalpapp,135.0,,,,,
ABaraaap,ABaraaa,ABaraaap,135.0,,,,,
ABalpppa,ABalppp,ABalpppa,135.0,,,,,
ABaraapa,ABaraap,ABaraapa,135.0,,,,,
ABplapaa,ABplapa,ABplapaa,135.0,,,,,
ABplaapp,ABplaap,ABplaapp,135.0,,,,,
ABplaapa,ABplaap,ABplaapa,135.0,,,,,
ABarpppp,ABarppp,ABarpppp,135.0,,,,,
ABplaaaa,ABplaaa,ABplaaaa,135.0,,,,,
ABprapaa,ABprapa,ABprapaa,135.0,,,,,
ABarpppa,ABarppp,ABarpppa,135.0,,,,,
ABarppap,ABarppa,ABarppap,135.0,,,,,
ABplapap,ABplapa,ABplapap,135.0,,,,,
ABplappa,ABplapp,ABplappa,135.0,,,,,
ABprapap,ABprapa,ABprapap,135.0,,,,,
ABpraapa,ABpraap,ABpraapa,135.0,,,,,
ABplappp,ABplapp,ABplappp,135.0,,,,,
ABprappa,ABprapp,ABprappa,135.0,,,,,
ABprappp,ABprapp,ABprappp,135.0,,,,,
ABpraaap,ABpraaa,ABpraaap,135.0,,,,,
ABprpaaa,ABprpaa,ABprpaaa,135.0,,,,,
ABpraaaa,ABpraaa,ABpraaaa,135.0,,,,,
ABplpaaa,ABplpaa,ABplpaaa,135.0,,,,,
ABprpaap,ABprpaa,ABprpaap,135.0,,,,,
ABplpaap,ABplpaa,ABplpaap,135.0,,,,,
ABprpapa,ABprpap,ABprpapa,135.0,,,,,
ABprpapp,ABprpap,ABprpapp,135.0,,,,,
ABplpapa,ABplpap,ABplpapa,135.0,,,,,
ABarppaa,ABarppa,ABarppaa,135.0,,,,,
ABplaaap,ABplaaa,ABplaaap,135.0,,,,,
ABarapap,ABarapa,ABarapap,135.0,,,,,
ABalpapa,ABalpap,ABalpapa,135.0,,,,,
ABarpaap,ABarpaa,ABarpaap,135.0,,,,,
ABarpapa,ABarpap,ABarpapa,135.0,,,,,
ABplpapp,ABplpap,ABplpapp,135.0,,,,,
ABpraapp,ABpraap,ABpraapp,135.0,,,,,
ABarpaaa,ABarpaa,ABarpaaa,135.0,,,,,
ABaraapp,ABaraap,ABaraapp,135.0,,,,,
ABalppap,ABalppa,ABalppap,140.0,,,,,
ABplpppa,ABplppp,ABplpppa,140.0,,,,,
ABprppaa,ABprppa,ABprppaa,140.0,,,,,
ABplppaa,ABplppa,ABplppaa,140.0,,,,,
ABprpppp,ABprppp,ABprpppp,140.0,,,,,
ABprpppa,ABprppp,ABprpppa,140.0,,,,,
Z2,P4,P4p,140.0,,repro,Germ line precursor cell.,,
Z3,P4,P4a,140.0,,repro,Germ line precursor cell.,,
ABplpppp,ABplppp,ABplpppp,140.0,,,,,
ABalppaa,ABalppa,ABalppaa,140.0,,,,,
ABprppap,ABprppa,ABprppap,140.0,,,,,
ABplppap,ABplppa,ABplppap,140.0,,,,,
MSaaap,MSaaa,MSaaap,145.0,,,,,
MSaapa,MSaap,MSaapa,145.0,,,,,
MSaapp,MSaap,MSaapp,145.0,,,,,
MSaaaa,MSaaa,MSaaaa,145.0,,,,,
ABalppppa,ABalpppp,ABalppppa,148.0,,,,,
ABalppppp,ABalpppp,ABalppppp,148.0,,,,,
MSpaaa,MSpaa,MSpaaa,150.0,,,,,
MSapap,MSapa,MSapap,150.0,,,,,
MSappa,MSapp,MSappa,150.0,,,,,
MSpapp,MSpap,MSpapp,150.0,,,,,
MSapaa,MSapa,MSapaa,150.0,,,,,
MSappp,MSapp,MSappp,150.0,,,,,
MSpaap,MSpaa,MSpaap,150.0,,,,,
MSpapa,MSpap,MSpapa,150.0,,,,,
ABalppapp,ABalppap,ABalppapp,153.0,,,,,
ABalppapa,ABalppap,ABalppapa,153.0,,,,,
MSppap,MSppa,MSppap,155.0,,,,,
MSpppp,MSppp,MSpppp,155.0,,,,,
MSpppa,MSppp,MSpppa,155.0,,,,,
MSppaa,MSppa,MSppaa,155.0,,,,,
ABalapapp,ABalapap,ABalapapp,160.0,,,,,
ABalapppa,ABalappp,ABalapppa,160.0,,,,,
ABalapppp,ABalappp,ABalapppp,160.0,,,,,
ABalapapa,ABalapap,ABalapapa,160.0,,,,,
ABalppaap,ABalppaa,ABalppaap,163.0,,,,,
ABalppaaa,ABalppaa,ABalppaaa,163.0,,,,,
Dpp,Dp,Dpp,165.0,,,,,
Caaap,Caaa,Caaap,165.0,,,,,
Caaaa,Caaa,Caaaa,165.0,,,,,
Eala,Eal,Eala,165.0,,,,,
ABprpapaa,ABprpapa,ABprpapaa,165.0,,,,,
Ealp,Eal,Ealp,165.0,,,,,
ABprpapap,ABprpapa,ABprpapap,165.0,,,,,
Daa,Da,Daa,165.0,,,,,
Dpa,Dp,Dpa,165.0,,,,,
Dap,Da,Dap,165.0,,,,,
ABalpappa,ABalpapp,ABalpappa,165.0,,,,,
ABalpappp,ABalpapp,ABalpappp,165.0,,,,,
ABalpaapp,ABalpaap,ABalpaapp,165.0,,,,,
ABalpapaa,ABalpapa,ABalpapaa,165.0,,,,,
ABalpaapa,ABalpaap,ABalpaapa,165.0,,,,,
ABalpapap,ABalpapa,ABalpapap,165.0,,,,,
ABalpppap,ABalpppa,ABalpppap,165.0,,,,,
ABalpppaa,ABalpppa,ABalpppaa,165.0,,,,,
Eara,Ear,Eara,165.0,,,,,
ABprpappa,ABprpapp,ABprpappa,165.0,,,,,
ABpraaapp,ABpraaap,ABpraaapp,165.0,,,,,
Earp,Ear,Earp,165.0,,,,,
ABprpappp,ABprpapp,ABprpappp,165.0,,,,,
ABpraaapa,ABpraaap,ABpraaapa,165.0,,,,,
ABprappap,ABprappa,ABprappap,170.0,,,,,
ABalaaapp,ABalaaap,ABalaaapp,170.0,,,,,
ABpraaaap,ABpraaaa,ABpraaaap,170.0,,,,,
ABprapapp,ABprapap,ABprapapp,170.0,,,,,
ABplppppp,ABplpppp,ABplppppp,170.0,,,,,
ABpraapaa,ABpraapa,ABpraapaa,170.0,,,,,
ABpraappa,ABpraapp,ABpraappa,170.0,,,,,
ABpraappp,ABpraapp,ABpraappp,170.0,,,,,
ABprapapa,ABprapap,ABprapapa,170.0,,,,,
ABprappaa,ABprappa,ABprappaa,170.0,,,,,
ABplpapap,ABplpapa,ABplpapap,170.0,,,,,
ABalapaaa,ABalapaa,ABalapaaa,170.0,,,,,
ABprpppaa,ABprpppa,ABprpppaa,170.0,,,,,
ABprpppap,ABprpppa,ABprpppap,170.0,,,,,
ABalappaa,ABalappa,ABalappaa,170.0,,,,,
ABplapapa,ABplapap,ABplapapa,170.0,,,,,
ABprppppa,ABprpppp,ABprppppa,170.0,,,,,
ABprppppp,ABprpppp,ABprppppp,170.0,,,,,
ABalapaap,ABalapaa,ABalapaap,170.0,,,,,
ABplapapp,ABplapap,ABplapapp,170.0,,,,,
ABplappaa,ABplappa,ABplappaa,170.0,,,,,
ABplappap,ABplappa,ABplappap,170.0,,,,,
ABplpappp,ABplpapp,ABplpappp,170.0,,,,,
ABplaappa,ABplaapp,ABplaappa,170.0,,,,,
Eplp,Epl,Eplp,170.0,,,,,
ABplaaapa,ABplaaap,ABplaaapa,170.0,,,,,
ABplpppaa,ABplpppa,ABplpppaa,170.0,,,,,
ABplaapaa,ABplaapa,ABplaapaa,170.0,,,,,
ABalaappa,ABalaapp,ABalaappa,170.0,,,,,
Cpaap,Cpaa,Cpaap,170.0,,,,,
ABalaappp,ABalaapp,ABalaappp,170.0,,,,,
ABplaapap,ABplaapa,ABplaapap,170.0,,,,,
ABalaaapa,ABalaaap,ABalaaapa,170.0,,,,,
ABpraaaaa,ABpraaaa,ABpraaaaa,170.0,,,,,
ABpraapap,ABpraapa,ABpraapap,170.0,,,,,
Epra,Epr,Epra,170.0,,,,,
ABplaaaaa,ABplaaaa,ABplaaaaa,170.0,,,,,
ABplpapaa,ABplpapa,ABplpapaa,170.0,,,,,
ABarpaapp,ABarpaap,ABarpaapp,170.0,,,,,
ABplaappp,ABplaapp,ABplaappp,170.0,,,,,
ABplpappa,ABplpapp,ABplpappa,170.0,,,,,
Epla,Epl,Epla,170.0,,,,,
ABplppppa,ABplpppp,ABplppppa,170.0,,,,,
Eprp,Epr,Eprp,170.0,,,,,
ABplaaaap,ABplaaaa,ABplaaaap,170.0,,,,,
ABplpppap,ABplpppa,ABplpppap,170.0,,,,,
ABarpaapa,ABarpaap,ABarpaapa,170.0,,,,,
ABplaaapp,ABplaaap,ABplaaapp,170.0,,,,,
Cpaaa,Cpaa,Cpaaa,170.0,,,,,
ABalappap,ABalappa,ABalappap,170.0,,,,,
ABarapapp,ABarapap,ABarapapp,175.0,,,,,
ABarappaa,ABarappa,ABarappaa,175.0,,,,,
ABalaaaar,ABalaaaa,ABalaaaar,175.0,,,,,
ABplpaapa,ABplpaap,ABplpaapa,175.0,,,,,
ABarappap,ABarappa,ABarappap,175.0,,,,,
ABaraappp,ABaraapp,ABaraappp,175.0,,,,,
ABalaaaal,ABalaaaa,ABalaaaal,175.0,,,,,
ABplapppp,ABplappp,ABplapppp,175.0,,,,,
ABaraapaa,ABaraapa,ABaraapaa,175.0,,,,,
ABprpaapa,ABprpaap,ABprpaapa,175.0,,,,,
ABplapaaa,ABplapaa,ABplapaaa,175.0,,,,,
ABarapppa,ABarappp,ABarapppa,175.0,,,,,
ABaraapap,ABaraapa,ABaraapap,175.0,,,,,
ABprppapp,ABprppap,ABprppapp,175.0,,,,,
ABplppaap,ABplppaa,ABplppaap,175.0,,,,,
ABprppaaa,ABprppaa,ABprppaaa,175.0,,,,,
Cpapp,Cpap,Cpapp,175.0,,,,,
Cpapa,Cpap,Cpapa,175.0,,,,,
ABaraaapa,ABaraaap,ABaraaapa,175.0,,,,,
ABplppapa,ABplppap,ABplppapa,175.0,,,,,
ABalpaaaa,ABalpaaa,ABalpaaaa,175.0,,,,,
ABalpaaap,ABalpaaa,ABalpaaap,175.0,,,,,
ABarpapap,ABarpapa,ABarpapap,175.0,,,,,
ABplppapp,ABplppap,ABplppapp,175.0,,,,,
ABprpaapp,ABprpaap,ABprpaapp,175.0,,,,,
ABplapppa,ABplappp,ABplapppa,175.0,,,,,
ABarapppp,ABarappp,ABarapppp,175.0,,,,,
ABprapppp,ABprappp,ABprapppp,175.0,,,,,
ABprppapa,ABprppap,ABprppapa,175.0,,,,,
ABarapapa,ABarapap,ABarapapa,175.0,,,,,
ABplppaaa,ABplppaa,ABplppaaa,175.0,,,,,
ABalaapaa,ABalaapa,ABalaapaa,175.0,,,,,
ABprppaap,ABprppaa,ABprppaap,175.0,,,,,
ABaraaapp,ABaraaap,ABaraaapp,175.0,,,,,
ABalaapap,ABalaapa,ABalaapap,175.0,,,,,
ABarpappa,ABarpapp,ABarpappa,175.0,,,,,
ABprapppa,ABprappp,ABprapppa,175.0,,,,,
ABarpappp,ABarpapp,ABarpappp,175.0,,,,,
ABplpaapp,ABplpaap,ABplpaapp,175.0,,,,,
ABprapaap,ABprapaa,ABprapaap,175.0,,,,,
ABplapaap,ABplapaa,ABplapaap,175.0,,,,,
ABaraappa,ABaraapp,ABaraappa,175.0,,,,,
ABarpapaa,ABarpapa,ABarpapaa,175.0,,,,,
ABprapaaa,ABprapaa,ABprapaaa,175.0,,,,,
ABprpaaap,ABprpaaa,ABprpaaap,180.0,,,,,
ABplpaaap,ABplpaaa,ABplpaaap,180.0,,,,,
ABprpaaaa,ABprpaaa,ABprpaaaa,180.0,,,,,
ABaraaaap,ABaraaaa,ABaraaaap,180.0,,,,,
ABarppapp,ABarppap,ABarppapp,180.0,,,,,
MSaaaap,MSaaaa,MSaaaap,180.0,,,,,
ABarppapa,ABarppap,ABarppapa,180.0,,,,,
Caapp,Caap,Caapp,180.0,,,,,
ABarpaaap,ABarpaaa,ABarpaaap,180.0,,,,,
MSaapaa,MSaapa,MSaapaa,180.0,,,,,
ABaraaaaa,ABaraaaa,ABaraaaaa,180.0,,,,,
ABarpaaaa,ABarpaaa,ABarpaaaa,180.0,,,,,
ABarapaaa,ABarapaa,ABarapaaa,180.0,,,,,
ABplpaaaa,ABplpaaa,ABplpaaaa,180.0,,,,,
ABarppppp,ABarpppp,ABarppppp,180.0,,,,,
Caapa,Caap,Caapa,180.0,,,,,
ABarppppa,ABarpppp,ABarppppa,180.0,,,,,
MSaapap,MSaapa,MSaapap,180.0,,,,,
ABarapaap,ABarapaa,ABarapaap,180.0,,,,,
MSaaaaa,MSaaaa,MSaaaaa,180.0,,,,,
Cappa,Capp,Cappa,185.0,,,,,
MSpapap,MSpapa,MSpapap,185.0,,,,,
Cappp,Capp,Cappp,185.0,,,,,
Capaa,Capa,Capaa,185.0,,,,,
Cpppa,Cppp,Cpppa,185.0,,,,,
Cpppp,Cppp,Cpppp,185.0,,,,,
MSpaaaa,MSpaaa,MSpaaaa,185.0,,,,,
Capap,Capa,Capap,185.0,,,,,
MSpapaa,MSpapa,MSpapaa,185.0,,,,,
Cppap,Cppa,Cppap,185.0,,,,,
MSpaaap,MSpaaa,MSpaaap,185.0,,,,,
Cppaa,Cppa,Cppaa,185.0,,,,,
ABarppaap,ABarppaa,ABarppaap,187.0,,,,,
ABarpppaa,ABarpppa,ABarpppaa,187.0,,,,,
ABarpppap,ABarpppa,ABarpppap,187.0,,,,,
ABarppaaa,ABarppaa,ABarppaaa,187.0,,,,,
MSaaapa,MSaaap,MSaaapa,188.0,,,,,
MSapaaa,MSapaa,MSapaaa,188.0,,,,,
MSapapa,MSapap,MSapapa,188.0,,,,,
MSaaapp,MSaaap,MSaaapp,188.0,,,,,
MSapapp,MSapap,MSapapp,188.0,,,,,
MSapaap,MSapaa,MSapaap,188.0,,,,,
MSppaaa,MSppaa,MSppaaa,190.0,,,,,
MSppapa,MSppap,MSppapa,190.0,,,,,
MSppaap,MSppaa,MSppaap,190.0,,,,,
MSpaapp,MSpaap,MSpaapp,190.0,223.0,,,,
MSpaapa,MSpaap,MSpaapa,190.0,,,,,
MSppapp,MSppap,MSppapp,190.0,,,,,
MSappaa,MSappa,MSappaa,194.0,,,,,
MSaappa,MSaapp,MSaappa,194.0,,,,,
MSapppa,MSappp,MSapppa,194.0,,,,,
MSappap,MSappa,MSappap,194.0,,,,,
MSapppp,MSappp,MSapppp,194.0,,,,,
MSaappp,MSaapp,MSaappp,194.0,,,,,
MSppppa,MSpppp,MSppppa,195.0,,,,,
MSppppp,MSpppp,MSppppp,195.0,,,,,
MSpppap,MSpppa,MSpppap,195.0,,,,,
MSpappp,MSpapp,MSpappp,195.0,,,,,
MSpppaa,MSpppa,MSpppaa,195.0,,,,,
MSpappa,MSpapp,MSpappa,195.0,,,,,
Dppp,Dpp,Dppp,200.0,,,,,
Dapa,Dap,Dapa,200.0,,,,,
Dapp,Dap,Dapp,200.0,,,,,
Dppa,Dpp,Dppa,200.0,,,,,
ABarapappp,ABarapapp,ABarapappp,210.0,,,,,
ABarapappa,ABarapapp,ABarapappa,210.0,,,,,
ABalapappp,ABalapapp,ABalapappp,210.0,,,,,
Daap,Daa,Daap,210.0,,,,,
ABalapappa,ABalapapp,ABalapappa,210.0,,,,,
Dpap,Dpa,Dpap,210.0,,,,,
Dpaa,Dpa,Dpaa,210.0,,,,,
Daaa,Daa,Daaa,210.0,,,,,
ABplpappap,ABplpappa,ABplpappap,210.0,250.0,,,,
ABplpappaa,ABplpappa,ABplpappaa,210.0,,,,,
ABalappppp,ABalapppp,ABalappppp,210.0,,,,,
ABalappppa,ABalapppp,ABalappppa,210.0,,,,,
ABalapppaa,ABalapppa,ABalapppaa,213.0,,,,,
ABalapppap,ABalapppa,ABalapppap,213.0,,,,,
P5,ABplappaa,ABplappaap,215.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P5 or P6 (aka P5/6 L).",,
P3,ABplappaa,ABplappaaa,215.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P3 or P4 (aka P3/4 L).",,
ABarapapap,ABarapapa,ABarapapap,215.0,,,,,
ABalapaapp,ABalapaap,ABalapaapp,215.0,,,,,
ABalpapppa,ABalpappp,ABalpapppa,215.0,,,,,
ABalappapp,ABalappap,ABalappapp,215.0,,,,,
ABalappapa,ABalappap,ABalappapa,215.0,,,,,
hyp7,ABarpaapp,ABarpaappp,215.0,,hypoderm,Embryonic large hypodermal syncytium.,,
V3L,ABplappap,ABplappapa,215.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp7,ABarpaapp,ABarpaappa,215.0,,hypoderm,Embryonic large hypodermal syncytium.,,
P7,ABplappap,ABplappapp,215.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P7 or P8 (aka P7/8 L).",,
ABalpapppp,ABalpappp,ABalpapppp,215.0,,,,,
ABplapapaa,ABplapapa,ABplapapaa,215.0,,,,,
ABplpaappa,ABplpaapp,ABplpaappa,215.0,,,,,
ABplpaappp,ABplpaapp,ABplpaappp,215.0,,,,,
ABalapaaaa,ABalapaaa,ABalapaaaa,215.0,,,,,
ABplapappp,ABplapapp,ABplapappp,215.0,,,,,
P11,ABplapapp,ABplapappa,215.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P11 or P12 (aka P11/12 L).",,
P9,ABplapapa,ABplapapap,215.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P9 or P10 (aka P9/10 L).",,
ABalapaaap,ABalapaaa,ABalapaaap,215.0,,,,,
ABplpapapa,ABplpapap,ABplpapapa,215.0,,,,,
ABplpapapp,ABplpapap,ABplpapapp,215.0,,,,,
hyp7,ABplaappp,ABplaapppp,215.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalapaapa,ABalapaap,ABalapaapa,215.0,,,,,
ABalapapaa,ABalapapa,ABalapapaa,215.0,250.0,,,,
ABalapapap,ABalapapa,ABalapapap,215.0,,,,,
ABarapapaa,ABarapapa,ABarapapaa,215.0,,,,,
hyp7,ABplaappp,ABplaapppa,215.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalppappa,ABalppapp,ABalppappa,217.0,,,,,
ABplpapaap,ABplpapaa,ABplpapaap,217.0,,,,,
ABalpppppa,ABalppppp,ABalpppppa,217.0,,,,,
ABalppappp,ABalppapp,ABalppappp,217.0,,,,,
ABalpappap,ABalpappa,ABalpappap,217.0,,,,,
ABalpppppp,ABalppppp,ABalpppppp,217.0,,,,,
ABalpappaa,ABalpappa,ABalpappaa,217.0,,,,,
ABplpapaaa,ABplpapaa,ABplpapaaa,217.0,,,,,
ABarappppp,ABarapppp,ABarappppp,218.0,,,,,
ABarappppa,ABarapppp,ABarappppa,218.0,,,,,
ABarappapp,ABarappap,ABarappapp,220.0,,,,,
ABarappapa,ABarappap,ABarappapa,220.0,,,,,
ABalppapap,ABalppapa,ABalppapap,220.0,,,,,
ABalppapaa,ABalppapa,ABalppapaa,220.0,,,,,
ABarapppap,ABarapppa,ABarapppap,220.0,,,,,
ABarapppaa,ABarapppa,ABarapppaa,220.0,,,,,
hyp7,Caaaa,Caaaap,220.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplppppaa,ABplppppa,ABplppppaa,220.0,,,,,
ABprpappap,ABprpappa,ABprpappap,220.0,,,,,
ABplpppppp,ABplppppp,ABplpppppp,220.0,,,,,
ABplpapppp,ABplpappp,ABplpapppp,220.0,,,,,
ABalaapppp,ABalaappp,ABalaapppp,220.0,,,,,
ABplapaaaa,ABplapaaa,ABplapaaaa,220.0,,,,,
ABprpaappp,ABprpaapp,ABprpaappp,220.0,,,,,
ABalaapppa,ABalaappp,ABalaapppa,220.0,,,,,
hyp7,Caaaa,Caaaaa,220.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABprpapapa,ABprpapap,ABprpapapa,220.0,,,,,
ABplapaaap,ABplapaaa,ABplapaaap,220.0,,,,,
ABprpapapp,ABprpapap,ABprpapapp,220.0,,,,,
ABprpappaa,ABprpappa,ABprpappaa,220.0,,,,,
hyp7,Cpaap,Cpaapa,220.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Cpaap,Cpaapp,220.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplpppppa,ABplppppp,ABplpppppa,220.0,,,,,
ABplppppap,ABplppppa,ABplppppap,220.0,,,,,
ABplpapppa,ABplpappp,ABplpapppa,220.0,,,,,
ABprpaappa,ABprpaapp,ABprpaappa,220.0,,,,,
ABpraaappa,ABpraaapp,ABpraaappa,220.0,,,,,
ABpraaappp,ABpraaapp,ABpraaappp,220.0,,,,,
hyp7,Cpaaa,Cpaaap,222.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Cpaaa,Cpaaaa,222.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Caaap,Caaapp,222.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Caaap,Caaapa,222.0,,hypoderm,Embryonic large hypodermal syncytium.,,
P12,ABprapapp,ABprapappa,223.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P11 or P12 (aka P11/12 R).",,
